"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"141","フクちゃん","Restaurant Fukuchan","和歌山市中島185-5ｺｰﾎﾟ中島104","Corpo Nakajima Rm.104, 185-5 Nakajima, Wakayama-shi","和歌山市エリア","グルメ","N","34.207752","135.186356"
"142","ハネ馬","Haneuma, Japanese style pub","和歌山市十番丁72","72 Jubancho, Wakayama-shi","和歌山市エリア","グルメ","N","34.230759","135.17572"
"143","廣井時計店","Hiroi clock shop","和歌山市打越町1-16","1-16 Uchikoshicho, Wakayama-shi","和歌山市エリア","ショッピング","N","34.205395","135.17659"
"144","Ｋａ　ｒ　ｔｏｆｆｅｌ（かるとふぇる）","Restaurant Kartoffel","和歌山市太田2-14-9ｱｽﾞﾏ太田ﾋﾞﾙ","Azuma Oda Building, 2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N","34.23214","135.195892"
"145","南海和歌山市駅　観光案内所","Tourist Information Center Nankai Wakayamashi Station","和歌山市東蔵前丁3-6","3-6 Higashikuramaecho, Wakayama-shi","和歌山市エリア","公共交通,観光スポット,その他","N","34.236134","135.166672"
"146","加太観光協会　観光案内所","Kada Tourist Association Tourist Information Center","和歌山市加太1067","1067 Kada, Wakayama-shi","和歌山市エリア","観光スポット,その他","L","34.27993","135.082779"
"147","活魚料理いなさ","Fresh Seafood Restaurant Inasa","和歌山市加太196","196 Kada, Wakayama-shi","和歌山市エリア","グルメ","N","34.274841","135.070618"
"148","大阪屋　ひいなの湯","Osakaya Hiina no Yu Ryokan","和歌山市加太142","142 Kada, Wakayama-shi","和歌山市エリア","宿泊,グルメ","L","34.274841","135.070618"
"149","巴旅館","Tomoe Ryokan","和歌山市本町3丁目8","3-8 Honmachi, Wakayama-shi","和歌山市エリア","宿泊","N","34.235439","135.174469"
"150","ホテル　ポルト・ディ・マーレ","Hotel Porto di Mare","和歌山市中47-2","47-2 Naka, Wakayama-shi","和歌山市エリア","宿泊","N","34.260715","135.144485"
"151","南海電鉄　林間田園都市駅","Nankai Electric Railway Rinkandenentoshi Sta. (NK75)","橋本市三石台1-1-1","1-1-1 Mitsuishidai, Hashimoto-shi","高野山エリア","公共交通","L","34.355465","135.602783"
"152","南海電鉄　橋本駅","Nankai Electric Railway Hashimoto Sta. (NK77)","橋本市古佐田1-4-51","1-4-51 Kosada, Hashimoto-shi","高野山エリア","公共交通","L","34.318375","135.616104"
"153","南海電鉄　極楽橋駅","Nankai Electric Railway Gokurakubashi Sta. (NK86)","伊都郡高野町大字高野山国有林第8林班","8 Koyasankokuyurin, Koya-cho, Ito-gun","高野山エリア","公共交通","L","34.215015","135.587585"
"154","南海電鉄　和歌山市駅","Nankai Electric Railway Wakayamashi Sta. (NK45)","和歌山市東蔵前丁3-6","3-6 Higashikuramaecho, Wakayama-shi","和歌山市エリア","公共交通","L","34.236134","135.166672"
"155","炭火やき鳥鳥々呂","Restaurant Sumibi Yakitori Totoro","和歌山市太田4-3-5川端ﾋﾞﾙ1F8号","Kawabata Building 1F Rm.8, 4-3-5 Oda, Wakayama-shi","和歌山市エリア","グルメ","N","34.22887","135.195099"
"156","鳥々呂　福島店","Restaurant Totoro Fukushima","和歌山市福島487ﾙﾐﾉｰｿﾞふるい2F","Luminozo Furui 2F, 487 Fukushima, Wakayama-shi","和歌山市エリア","グルメ","N","34.248566","135.168396"
"157","三八波","Restaurant Mihanami","和歌山市黒田2-1-25","2-1-25 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N","34.233055","135.194534"
"158","炭火焼肉　なのはな","Sumibi Yakiniku Restaurant Nanohana","和歌山市太田1-12-31","1-12-31 Oda, Wakayama-shi","和歌山市エリア","グルメ","L","34.231194","135.193817"
"159","デリシャス廣岡　吉備店","Supermarket Delicious Hirooka Kibi Store","有田郡有田川町天満568","568 Tenma, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.061443","135.207932"
"160","デリシャス廣岡　保田店","Supermarket Delicious Hirooka Yasuda Store","有田市辻堂821","821 Tsujido, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.076836","135.141861"
"161","焼肉三国一　湯浅店","Yakiniku Restaurant Sangokuichi Yuasa Restaurant","有田郡湯浅町湯浅1590","1590 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N","34.03606","135.180557"
"162","焼肉三国一　黒田店","Yakiniku Restaurant Sangokuichi Kuroda Restaurant","和歌山市黒田249","249 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N","34.238064","135.199356"
"163","焼肉三国一　梶取店","Yakiniku Restaurant Sangokuichi Kandori Restaurant","和歌山市梶取162-1","162-1 Kandori, Wakayama-shi","和歌山市エリア","グルメ","N","34.251244","135.156067"
"164","焼肉三国一　海南店","Yakiniku Restaurant Sangokuichi Kainan Restarurant","海南市大野中621-1","621-1 Ononaka, Kainan-shi","和歌山市エリア","グルメ","N","34.153866","135.224228"
"165","エバグリーン吉備店","Supermarket Ever Green Kibi Store","有田郡有田川町天満562","562 Tenma, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.061443","135.207932"
"166","エバグリーン有田店","Supermarket Ever Green Arida Store","有田市宮崎町110-1","110-1 Miyazakicho, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.077488","135.103058"
"167","エバグリーン広瀬店","Supermaarket Ever Green Hirose Store","和歌山市元町奉行丁2丁目66","2-66 Bugyocho, Motomachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.224167","135.184128"
"168","エバグリーン梶取店","Supermarket Ever Green Kandori Store","和歌山市梶取162-1","162-1 Kandori, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.251244","135.156067"
"169","エバグリーン高野口店","Supermarket Evergreen Koyaguchi Store","橋本市高野口町名古曽940-1","940-1 Nagoso, Koyaguchicho, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N","34.302212","135.561432"
"170","スーパーエバグリーン宮前店","Supermarket Ever Green Miyamae Store","和歌山市中島576-3","576-3 Nakajima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.215523","135.194275"
"171","エバグリーン岩出中迫店","Supermarket Ever Green Iwadenakasako Store","岩出市中迫118-3","118-3 Nakabusa, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N","34.262299","135.31781"
"172","スーパーエバグリーン湯浅店","Supermarket Ever Green Yuasa Store","有田郡湯浅町湯浅1792","1792 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.035324","135.176682"
"173","エバグリーン海南店","Supermarket Ever Green Kainan Store","海南市重根35","35 Shikone, Kainan-shi","和歌山市エリア","グルメ,ショッピング","N","34.154411","135.239456"
"174","エバグリーン田辺元町店","Supermarket Ever Green Tanabemotomachi Store","田辺市上の山2丁目17-22","2-17-22 Uenoyama, Tanabe-shi","熊野エリア","グルメ,ショッピング","N","33.734276","135.363846"
"175","エバグリーン御坊店","Supermarket Ever Green  Gobo Store","御坊市湯川町財部840-1","840-1 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N","33.900803","135.159271"
"176","エバグリーン西庄店","Supermarket Ever Green Nishinosho Store","和歌山市西庄765-1","765-1 Nishinosho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.256214","135.116119"
"177","エバグリーン串本店","Supermarket Ever　Green Kushimoto Store","東牟婁郡串本町串本字小森生1758","1758 Kushimoto Kushimotocho, Higashimuro-gun","白浜・串本エリア","グルメ,ショッピング","N","33.469734","135.780426"
"178","エバグリーン宮街道店","Supermarket Ever Green Miyakaido Store","和歌山市秋月227-2","227-2 Akizuki, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.23119","135.204163"
"179","スーパーエバグリーン四ヶ郷店","Supermarket Ever Green Shikago Store","和歌山市加納295-1","295-1 Kano, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.243557","135.205002"
"180","エバグリーン紀三井寺店","Supermarket Ever Green Kimiidera Store","和歌山市布引743-2","743-2 Nunohiki, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.175812","135.185043"
"181","エバグリーン新中島店","Supermarket Ever Green Shinnakajima Store","和歌山市新中島124","124 Shinnakajima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.214802","135.196808"
"182","スーパーエバグリーン和歌山北インター店","Supermarket Ever Green Wakayama Kita Interchange Store","和歌山市直川274-1","274-1 Nougawa, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.26495","135.216431"
"183","エバグリーンかつらぎ店","Supermarket Ever Green Katsuragi Store","伊都郡かつらぎ町佐野905-1","905-1 Saya, Katsuragicho, Ito-gun","高野山エリア","グルメ,ショッピング","N","34.290627","135.485382"
"184","スーパーエバグリーン上富田店","Supermarket Ever Green Kamitonda store","西牟婁郡上富田町生馬564-1","564-1 Ikuma, Kamitondacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","N","33.691849","135.457611"
"185","スーパーエバグリーン福島店","Supermarket Ever Green Fukushima Store","和歌山市福島89-1","89-1 Fukushima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.250607","135.160706"
"186","スーパーエバグリーン岩出高塚店","Supermarket Ever Green Iwadetakatsuka Store","岩出市高塚188-1","188-1 Takatsuka, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N","34.257111","135.323364"
"187","エイトマートン湯浅吉川店","Supermarket Eight Marton Yuasayoshikawa Store","有田郡湯浅町大字吉川70","70 Yoshikawa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.051296","135.187881"
"188","エイトマートン有田川土生店","Supermarket Eight Marton Aridagawa habu Store","有田郡有田川町大字土生80-3","80-3 Habu, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N","34.055527","135.206604"
"189","お菓子の工房アン　内原本店","Confectionary Okashino Kobo Ann Uchiharahonten Store","和歌山市内原915","915 Uchihara, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.17255","135.192581"
"190","お菓子の工房アン　大谷店","Confectionary Okashino Kobo Ann Otani Shop","和歌山市大谷398-1","398-1 Otani, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N","34.260208","135.179596"
"191","ぼへみあん","Cafe Bohemian","和歌山市本町1-15","1-15 Honmachi, Wakayama-shi","和歌山市エリア","グルメ","N","34.233494","135.174164"
"192","東口食堂","Restaurant Higashikuchi Shokudo","和歌山市太田1-14-7","1-14 Oda, Wakayama-shi","和歌山市エリア","グルメ","L","34.231888","135.192566"
"193","あたらし屋","Atarashiya Ryokan, fresh fish cuisine","和歌山市加太205","205 Kada, Wakayama-shi","和歌山市エリア","宿泊,グルメ","N","34.274841","135.070618"
"194","フォルテワジマ第４駐車場","FORTE WAJIMA, Department Store, Parking 4","和歌山市本町2-15","2-15 Honmachi, Wakayama-shi","和歌山市エリア","その他","N","34.234436","135.174667"
"195","Ｔ－ＬＡＢＯ","Rental Space T-Labo","和歌山市美園町5-4-2","5-4-2 Misonocho, Wakayama-shi","和歌山市エリア","その他","L","34.229626","135.190506"
"196","宇都宮病院","Utsunomiya Hospital","和歌山市鳴神505-4","505-4 Narukami, Wakayama-shi","和歌山市エリア","その他","N","34.227417","135.214447"
"197","和歌山インドアテニスクラブ","Wakayama Indoor Tennis Club","和歌山市園部1070","1070 Sonobe, Wakayama-shi","和歌山市エリア","その他","N","34.264305","135.194519"
"198","テニスセンター和歌山西浜校","Tennis Center Wakayama Nishihamako Tennis school","和歌山市西浜903-1","903-1 Nishihama, Wakayama-shi","和歌山市エリア","その他","N","34.200897","135.154404"
"199","テニスセンター和歌山岩出校","Tennis Center Wakayama Iwadeko Tennis school","岩出市中島820-3","820-3 Nakajima, Iwade-shi","和歌山市エリア","その他","N","34.261723","135.296524"
"200","スポーツアドヴァンス岩出"," Sports Club Advance Iwade","岩出市金池71-2","71-2 Kanaike, Iwade-shi","和歌山市エリア","その他","L","34.273811","135.289948"
"201","スポーツアドヴァンスかつらぎ","Sports Advance Katsuragi Sports Club","紀の川市藤崎279-1","279-1 Fujisaki, Kinokawa-shi","和歌山市エリア","その他","L","34.270073","135.426712"
"202","スポーツアドヴァンスむそた","Sports Advance Musota Sports Club","和歌山市六十谷78-5","78-5 Musota, Wakayama-shi","和歌山市エリア","その他","L","34.259914","135.200912"
"203","慶風高等学校","Keifu High School","海草郡紀美野町田64","64 Ta, Kiminocho, Kaiso-gun","和歌山市エリア","その他","N","34.139992","135.415924"
"204","民宿松林","Minshuku Matsubayashi ","有田市初島町浜1769-1","1769-1 Hama, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","宿泊,グルメ","N","34.101265","135.114044"
"205","旬海","Shunkai Japanese Restaurant","和歌山市和歌浦東2-9-46","2-9-46 Wakaurahigashi, Wakayama-shi","和歌山市エリア","グルメ","N","34.192039","135.17572"
"206","八十八家","Hachijuhachiya Restaurant","田辺市稲成町270-1-2","270-1-2 Inaricho, Tanabe-shi","熊野エリア","グルメ","L","33.741989","135.374359"
"207","民宿せせらぎ","Minshuku Seseragi ","田辺市龍神村湯ﾉ又577-2","277-2 Ryujinmurayunomata, Tanabe-shi","熊野エリア","宿泊","N","33.946087","135.557114"
"208","たまゆらの里","Tamayuranosato Resort Cottage","紀美野町長谷宮705","705 Hasemiya, Kiminocho","和歌山市エリア","宿泊,グルメ","N","34.180313","135.479385"
"209","和歌山加太温泉　加太海月","Seaside Hotel Kada Kaigetsu","和歌山市加太1905","1905 Kada, Wakayama-shi","和歌山市エリア","宿泊","L","34.268482","135.071014"
"210","海南市物産観光センター","Kainan city Souvenir Tourism center","海南市名高51-2JR海南駅構内","JR Kainan station, 51-2 Nataka, Kainan-shi","和歌山市エリア","グルメ,ショッピング,観光スポット,その他","N","34.154312","135.212616"
"211","ファーストガーデン","Cafe First Garden","海南市名高532-14","532-14 Nataka, Kainan-shi","和歌山市エリア","グルメ","L","34.154114","135.211884"
"212","黒牛茶屋","Kuroushi-jyaya Japanese Sake bar and shop","海南市黒江846","846 Kuroe, Kainan-shi","和歌山市エリア","グルメ,ショッピング,観光スポット","L","34.166534","135.205688"
"213","黒江ぬりもの館","Cafe Kuroe Nurimonokan","海南市黒江680","680 Kuroe, Kainan-shi","和歌山市エリア","ショッピング,観光スポット","N","34.161564","135.205521"
