"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"デリシャス廣岡　保田店","Supermarket Delicious Hirooka Yasuda Store","有田市辻堂821","821 Tsujido, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"焼肉三国一　湯浅店","Yakiniku Restaurant Sangokuichi Yuasa Restaurant","有田郡湯浅町湯浅1590","1590 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ","N"
"焼肉三国一　黒田店","Yakiniku Restaurant Sangokuichi Kuroda Restaurant","和歌山市黒田249","249 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N"
"焼肉三国一　梶取店","Yakiniku Restaurant Sangokuichi Kandori Restaurant","和歌山市梶取162-1","162-1 Kandori, Wakayama-shi","和歌山市エリア","グルメ","N"
"焼肉三国一　海南店","Yakiniku Restaurant Sangokuichi Kainan Restarurant","海南市大野中621-1","621-1 Ononaka, Kainan-shi","和歌山市エリア","グルメ","N"
"エバグリーン吉備店","Supermarket Ever Green Kibi Store","有田郡有田川町天満562","562 Tenma, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"エバグリーン有田店","Supermarket Ever Green Arida Store","有田市宮崎町110-1","110-1 Miyazakicho, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"エバグリーン広瀬店","Supermaarket Ever Green Hirose Store","和歌山市元町奉行丁2丁目66","2-66 Bugyocho, Motomachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン梶取店","Supermarket Ever Green Kandori Store","和歌山市梶取162-1","162-1 Kandori, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン高野口店","Supermarket Evergreen Koyaguchi Store","橋本市高野口町名古曽940-1","940-1 Nagoso, Koyaguchicho, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"スーパーエバグリーン宮前店","Supermarket Ever Green Miyamae Store","和歌山市中島576-3","576-3 Nakajima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン岩出中迫店","Supermarket Ever Green Iwadenakasako Store","岩出市中迫118-3","118-3 Nakabusa, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N"
"スーパーエバグリーン湯浅店","Supermarket Ever Green Yuasa Store","有田郡湯浅町湯浅1792","1792 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"エバグリーン海南店","Supermarket Ever Green Kainan Store","海南市重根35","35 Shikone, Kainan-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン田辺元町店","Supermarket Ever Green Tanabemotomachi Store","田辺市上の山2丁目17-22","2-17-22 Uenoyama, Tanabe-shi","熊野エリア","グルメ,ショッピング","N"
"エバグリーン御坊店","Supermarket Ever Green  Gobo Store","御坊市湯川町財部840-1","840-1 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"エバグリーン西庄店","Supermarket Ever Green Nishinosho Store","和歌山市西庄765-1","765-1 Nishinosho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン串本店","Supermarket Ever　Green Kushimoto Store","東牟婁郡串本町串本字小森生1758","1758 Kushimoto Kushimotocho, Higashimuro-gun","白浜・串本エリア","グルメ,ショッピング","N"
"エバグリーン宮街道店","Supermarket Ever Green Miyakaido Store","和歌山市秋月227-2","227-2 Akizuki, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"スーパーエバグリーン四ヶ郷店","Supermarket Ever Green Shikago Store","和歌山市加納295-1","295-1 Kano, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン紀三井寺店","Supermarket Ever Green Kimiidera Store","和歌山市布引743-2","743-2 Nunohiki, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーン新中島店","Supermarket Ever Green Shinnakajima Store","和歌山市新中島124","124 Shinnakajima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"スーパーエバグリーン和歌山北インター店","Supermarket Ever Green Wakayama Kita Interchange Store","和歌山市直川274-1","274-1 Nougawa, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"エバグリーンかつらぎ店","Supermarket Ever Green Katsuragi Store","伊都郡かつらぎ町佐野905-1","905-1 Saya, Katsuragicho, Ito-gun","高野山エリア","グルメ,ショッピング","N"
"スーパーエバグリーン上富田店","Supermarket Ever Green Kamitonda store","西牟婁郡上富田町生馬564-1","564-1 Ikuma, Kamitondacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","N"
"スーパーエバグリーン福島店","Supermarket Ever Green Fukushima Store","和歌山市福島89-1","89-1 Fukushima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"スーパーエバグリーン岩出高塚店","Supermarket Ever Green Iwadetakatsuka Store","岩出市高塚188-1","188-1 Takatsuka, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N"
"エイトマートン湯浅吉川店","Supermarket Eight Marton Yuasayoshikawa Store","有田郡湯浅町大字吉川70","70 Yoshikawa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"エイトマートン有田川土生店","Supermarket Eight Marton Aridagawa habu Store","有田郡有田川町大字土生80-3","80-3 Habu, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"お菓子の工房アン　内原本店","Confectionary Okashino Kobo Ann Uchiharahonten Store","和歌山市内原915","915 Uchihara, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"お菓子の工房アン　大谷店","Confectionary Okashino Kobo Ann Otani Shop","和歌山市大谷398-1","398-1 Otani, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"ぼへみあん","Cafe Bohemian","和歌山市本町1-15","1-15 Honmachi, Wakayama-shi","和歌山市エリア","グルメ","N"
"東口食堂","Restaurant Higashikuchi Shokudo","和歌山市太田1-14-7","1-14 Oda, Wakayama-shi","和歌山市エリア","グルメ","L"
"あたらし屋","Atarashiya Ryokan, fresh fish cuisine","和歌山市加太205","205 Kada, Wakayama-shi","和歌山市エリア","宿泊,グルメ","N"
"フォルテワジマ第４駐車場","FORTE WAJIMA, Department Store, Parking 4","和歌山市本町2-15","2-15 Honmachi, Wakayama-shi","和歌山市エリア","その他","N"
"Ｔ－ＬＡＢＯ","Rental Space T-Labo","和歌山市美園町5-4-2","5-4-2 Misonocho, Wakayama-shi","和歌山市エリア","その他","L"
"宇都宮病院","Utsunomiya Hospital","和歌山市鳴神505-4","505-4 Narukami, Wakayama-shi","和歌山市エリア","その他","N"
"和歌山インドアテニスクラブ","Wakayama Indoor Tennis Club","和歌山市園部1070","1070 Sonobe, Wakayama-shi","和歌山市エリア","その他","N"
"テニスセンター和歌山西浜校","Tennis Center Wakayama Nishihamako Tennis school","和歌山市西浜903-1","903-1 Nishihama, Wakayama-shi","和歌山市エリア","その他","N"
"テニスセンター和歌山岩出校","Tennis Center Wakayama Iwadeko Tennis school","岩出市中島820-3","820-3 Nakajima, Iwade-shi","和歌山市エリア","その他","N"
"スポーツアドヴァンス岩出"," Sports Club Advance Iwade","岩出市金池71-2","71-2 Kanaike, Iwade-shi","和歌山市エリア","その他","L"
"スポーツアドヴァンスかつらぎ","Sports Advance Katsuragi Sports Club","紀の川市藤崎279-1","279-1 Fujisaki, Kinokawa-shi","和歌山市エリア","その他","L"
"スポーツアドヴァンスむそた","Sports Advance Musota Sports Club","和歌山市六十谷78-5","78-5 Musota, Wakayama-shi","和歌山市エリア","その他","L"
"慶風高等学校","Keifu High School","海草郡紀美野町田64","64 Ta, Kiminocho, Kaiso-gun","和歌山市エリア","その他","N"
"民宿松林","Minshuku Matsubayashi ","有田市初島町浜1769-1","1769-1 Hama, Hatsushimacho, Arida-shi","有田・湯浅・日高エリア","宿泊,グルメ","N"
"旬海","Shunkai Japanese Restaurant","和歌山市和歌浦東2-9-46","2-9-46 Wakaurahigashi, Wakayama-shi","和歌山市エリア","グルメ","N"
"八十八家","Hachijuhachiya Restaurant","田辺市稲成町270-1-2","270-1-2 Inaricho, Tanabe-shi","熊野エリア","グルメ","L"
"民宿せせらぎ","Minshuku Seseragi ","田辺市龍神村湯ﾉ又577-2","277-2 Ryujinmurayunomata, Tanabe-shi","熊野エリア","宿泊","N"
"たまゆらの里","Tamayuranosato Resort Cottage","紀美野町長谷宮705","705 Hasemiya, Kiminocho","和歌山市エリア","宿泊,グルメ","N"
"和歌山加太温泉　加太海月","Seaside Hotel Kada Kaigetsu","和歌山市加太1905","1905 Kada, Wakayama-shi","和歌山市エリア","宿泊","L"
"海南市物産観光センター","Kainan city Souvenir Tourism center","海南市名高51-2JR海南駅構内","JR Kainan station, 51-2 Nataka, Kainan-shi","和歌山市エリア","グルメ,ショッピング,観光スポット,その他","N"
"ファーストガーデン","Cafe First Garden","海南市名高532-14","532-14 Nataka, Kainan-shi","和歌山市エリア","グルメ","L"
"黒牛茶屋","Kuroushi-jyaya Japanese Sake bar and shop","海南市黒江846","846 Kuroe, Kainan-shi","和歌山市エリア","グルメ,ショッピング,観光スポット","L"
"黒江ぬりもの館","Cafe Kuroe Nurimonokan","海南市黒江680","680 Kuroe, Kainan-shi","和歌山市エリア","ショッピング,観光スポット","N"
"料亭　美登利","Midori Japanese restaurant","海南市船尾185","185 Funoo, Kainan-shi","和歌山市エリア","グルメ","N"
"ライズゴルフセンター","Rise Golf Center","海南市大野中1122","1122 Ononaka, Kainan-shi","和歌山市エリア","その他","N"
"紀州漆器協同組合","Kishu lacquerware traditional industry house","海南市船尾222","222 Funoo, Kainan-shi","和歌山市エリア","ショッピング,観光スポット","N"
"池庄漆器店","Ikesho Shikki Lacquer Ware Shop","海南市黒江692","692 Kuroe, Kainan-shi","和歌山市エリア","ショッピング","N"
"とれたて広場"," Farmer's market Toretate Hiroba","海南市重根418","418 Shikone, Kainan-shi","和歌山市エリア","ショッピング","N"
"野上八幡宮","Nokami Hachimangu Shrine","海草郡紀美野町小畑625","625 Shobata, Kiminocho, Kaiso-gun","和歌山市エリア","観光スポット,その他","L"
"海南駅前一丁目商店街","JR　Kainan Station Shopping street ","海南市名高555-3","555-3 Nataka, Kainan-shi","和歌山市エリア","グルメ,ショッピング,公共交通,その他","N"
"国木原ゴルフ倶楽部","Kunikihara Golf Club","海草郡紀美野町国木原551-14","551-14 Kunikibara, Kiminocho, Kaiso-gun","和歌山市エリア","その他","N"
"セミナーハウス未来塾","Seminar House Miraijuku, lodging facility","海草郡紀美野町田25","25 Ta, Kiminocho, Kaiso-gun","和歌山市エリア","宿泊","L"
"法然寺","Honenji temple","海南市沖野々553","553 Okinono, Kainan-shi","和歌山市エリア","観光スポット,その他","L"
"ド－シェル","Bakery Terrace Dooshel","海草郡紀美野町釜滝417-3","417-3 Kamataki, Kiminocho, Kaiso-gun","和歌山市エリア","グルメ","L"
"藤の森不動温泉だるま湯","Fujinomorifudo Onsen Darumayu","海草郡紀美野町滝ﾉ川73","73 Takinogawa, Kiminocho, Kaiso-gun","和歌山市エリア","宿泊,グルメ,その他","L"
"キミノーカ","Gelato Shop Kiminoka","海草郡紀美野町三尾川785-3","785-3 Miogawa, Kiminocho, Kaiso-gun","和歌山市エリア","グルメ","L"
"釜滝薬師金剛寺","Kamataki Yakushi Kongoji temple","海草郡紀美野町釜滝120","120 Kamataki, Kiminocho, Kaiso-gun","和歌山市エリア","観光スポット,その他","L"
"安養寺","Anyo-ji Temple","海南市名高420","420 Nataka, Kainan-shi","和歌山市エリア","観光スポット,その他","N"
"海月旅館","Kaigetsu Ryokan ","海南市船尾378","378 Funo, Kainan-shi","和歌山市エリア","宿泊","L"
"コ－ヒ－館　熊野路","Coffee House Kumanoji","紀の川市貴志川町神戸177-3","177-3 Kodo, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ","N"
"大池荘","Oikeso Inn","紀の川市貴志川町長山1287-1","1287-1 Nagayama, Kishigawacho, Kinokawa-shi","和歌山市エリア","宿泊","N"
"アミューズフレンチレストラン","Amuse French Restaurant ","岩出市中黒432‐7","432-7 Nakakuro, Iwade-shi","和歌山市エリア","グルメ","L"
"ファーマーズマーケット　めっけもん広場","Farmer's market Mekkemon-hiroba","紀の川市豊田56-3","56-3 Toyoda, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N"
"粉河寺","Kokawadera Temple","紀の川市粉河2787","2787 Kokawa, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N"
"焼肉の牛太本陣岩出店","Yakiniku restaurant　Gyuta Honjin Iwade","岩出市西国分725-1","725-1 Nishikokubu, Iwade-shi","和歌山市エリア","グルメ","N"
"タウンコーヒー","Town Coffee","岩出市荊本235","235 Ibaramoto, Iwade-shi","和歌山市エリア","ショッピング","N"
"粉河産土神社","Kokawaubusuna Jinja Shrine ","紀の川市粉河2788","2788 Kokawa, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N"
"稲穂会病院","Inahokai Hospital","紀の川市粉河756‐3","756-3 Kokawa, Kinokawa-shi","和歌山市エリア","その他","N"
"鶏心（チキンハ－ト）ていは","Restaurant Chiken Heart Teiha","岩出市西野25-3","25-3 Nishino, Iwade-shi","和歌山市エリア","グルメ","N"
"観音寺","Kannonji temple","紀の川市別所58","58 Bessho, Kinokawa-shi","和歌山市エリア","観光スポット,その他","N"
"紀北印刷","Kihoku Printing","紀の川市西大井133-6","133-6 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N"
"Ｔ－ＮＡＲＵＳＥ（ケーキパーラーナルセ）","T-NARUSE Cake Parlor","岩出市清水363","363 Shimizu, Iwade-shi","和歌山市エリア","グルメ,ショッピング","L"
"裁ち寄り処","Hashimoto city regional industry promotion center Tachiyori-dokoro","橋本市高野口町名倉288番地地場産業振興ｾﾝﾀｰ","Jiba Sangyo Shinko Center, 288 Nagura, Koyaguchicho, Hashimoto-shi","高野山エリア","ショッピング,その他","L"
"はしもと広域観光案内所","Tourist information center of Hashimoto","橋本市古佐田1-5-9橋本市観光協会","Hashimoto City Tourist Association, 1-5-9 Kosada, Hashimoto-shi","高野山エリア","公共交通,観光スポット,その他","L"
"みそや呉服店　店舗","Misoya draper's head office","橋本市賢堂1114-1","1114-1 Kashikodo, Hashimoto-shi","高野山エリア","ショッピング","L"
"みそや呉服店　本店","Misoya draper's flagship store","橋本市橋本1-2-14","1-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","L"
"ｂｅａｒｅ　ｂｙ　ＭｉＳＯＹＡ","Kimono Shop Beare by Misoya","橋本市橋本1-2-14","1-2-14 Hashimoto, Hashimoto-shi","高野山エリア","ショッピング","L"
"かつらぎ温泉　八風の湯","Katsuragi onsen Happuno-yu","伊都郡かつらぎ町佐野702","702 Saya, Katsuragicho, Ito-gun","高野山エリア","宿泊,グルメ,その他","L"
"天の里","Mountain Villa Amanosato","伊都郡かつらぎ町天野1620","1620 Amano, Katsuragicho, Ido-gun","高野山エリア","宿泊,グルメ","N"
"宝善院","Hozenin temple (shukubo)","伊都郡高野町高野山568","568 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊,グルメ","L"
"西南院","Sainanin temple (shukubo)","伊都郡高野町高野山249","249 Koyasan, Koyacho, Ido-gun","高野山エリア","宿泊,グルメ","L"
